sensor_id,station,latitude,longitude,timestamp,aqi,pm25,pm10,co,no2,so2,temperature,humidity,wind_speed,source_type,severity,data_type,area
sensor_construction_001,Metro Construction A,28.656525,77.310922,2025-07-15T00:00:00.000Z,35,17.9,47.1,0.42,10.8,4.8,NaN,NaN,NaN,construction,moderate,historical,Anand Vihar
sensor_construction_002,Construction Site B,28.616051,77.320457,2025-07-15T00:00:00.000Z,47,28.2,93,0.82,22,8.3,NaN,NaN,NaN,construction,moderate,historical,Anand Vihar
sensor_construction_003,Building Project C,28.63314,77.301122,2025-07-15T00:00:00.000Z,71,28.6,90.4,0.77,17.5,5,NaN,NaN,NaN,construction,moderate,historical,Anand Vihar
sensor_construction_004,Construction Site D,28.648041,77.305674,2025-07-15T00:00:00.000Z,63,30.7,98.6,0.6,25.2,9.3,NaN,NaN,NaN,construction,moderate,historical,Anand Vihar
sensor_construction_005,Metro Construction E,28.654603,77.331446,2025-07-15T00:00:00.000Z,66,28.3,97.4,0.81,23.7,4.5,NaN,NaN,NaN,construction,moderate,historical,Anand Vihar
sensor_construction_006,Highway Expansion F,28.636031,77.322181,2025-07-15T00:00:00.000Z,59,32.7,86.7,0.64,19.5,6.5,NaN,NaN,NaN,construction,moderate,historical,Anand Vihar
sensor_vehicle_001,Highway Monitor A,28.648153,77.364056,2025-07-15T00:00:00.000Z,75,25.1,52.6,0.99,23.9,12,NaN,NaN,NaN,vehicle,moderate,historical,Anand Vihar
sensor_vehicle_002,Parking Complex B,28.678242,77.292525,2025-07-15T00:00:00.000Z,84,45.2,66.1,2.3,35.3,19.2,NaN,NaN,NaN,vehicle,moderate,historical,Anand Vihar
sensor_vehicle_003,Parking Complex C,28.638734,77.319219,2025-07-15T00:00:00.000Z,65,41.4,40.8,1.64,23.4,10.2,NaN,NaN,NaN,vehicle,moderate,historical,Anand Vihar
sensor_vehicle_004,Highway Monitor D,28.655445,77.331786,2025-07-15T00:00:00.000Z,67,63.1,67.4,2.62,48.7,14.7,NaN,NaN,NaN,vehicle,moderate,historical,Anand Vihar
sensor_vehicle_005,Highway Monitor E,28.660899,77.333624,2025-07-15T00:00:00.000Z,92,62.8,104.7,1.8,32.6,12.7,NaN,NaN,NaN,vehicle,moderate,historical,Anand Vihar
sensor_vehicle_006,Traffic Junction F,28.629773,77.316564,2025-07-15T00:00:00.000Z,85,51.9,63.8,2.62,54.4,11.2,NaN,NaN,NaN,vehicle,moderate,historical,Anand Vihar
sensor_vehicle_007,Parking Complex G,28.624538,77.354275,2025-07-15T00:00:00.000Z,54,34.2,80.1,1.86,22.9,11,NaN,NaN,NaN,vehicle,moderate,historical,Anand Vihar
sensor_vehicle_008,Bus Terminal H,28.640504,77.319658,2025-07-15T00:00:00.000Z,74,41.3,117.8,1.28,45.3,19.7,NaN,NaN,NaN,vehicle,moderate,historical,Anand Vihar
sensor_dust_001,Vacant Plot A,28.660666,77.318779,2025-07-15T00:00:00.000Z,74,53.2,160.5,0.78,21.2,8.4,NaN,NaN,NaN,dust,moderate,historical,Anand Vihar
sensor_dust_002,Riverbank Area B,28.629686,77.297894,2025-07-15T00:00:00.000Z,103,108.3,198.7,0.92,29,9.2,NaN,NaN,NaN,dust,high,historical,Anand Vihar
sensor_dust_003,Riverbank Area C,28.656484,77.332537,2025-07-15T00:00:00.000Z,155,96.5,191.3,0.54,26.2,7,NaN,NaN,NaN,dust,very_high,historical,Anand Vihar
sensor_dust_004,Open Ground D,28.652445,77.333468,2025-07-15T00:00:00.000Z,141,73.6,149.5,0.99,31.9,5.8,NaN,NaN,NaN,dust,high,historical,Anand Vihar
sensor_industrial_001,Processing Plant A,28.648513,77.314073,2025-07-15T00:00:00.000Z,134,96.7,105.5,2.51,51.6,38.6,NaN,NaN,NaN,industrial,high,historical,Anand Vihar
sensor_industrial_002,Manufacturing Hub B,28.621119,77.285802,2025-07-15T00:00:00.000Z,127,75.2,149.3,2.03,55.5,40.2,NaN,NaN,NaN,industrial,high,historical,Anand Vihar
sensor_industrial_003,Industrial Zone C,28.628297,77.319966,2025-07-15T00:00:00.000Z,104,83.8,125.2,1.56,40.2,27.3,NaN,NaN,NaN,industrial,high,historical,Anand Vihar
sensor_industrial_004,Manufacturing Hub D,28.659396,77.331965,2025-07-15T00:00:00.000Z,116,76.1,136.6,2.59,38.7,30.8,NaN,NaN,NaN,industrial,high,historical,Anand Vihar
sensor_residential_001,Community Center A,28.665526,77.347198,2025-07-15T00:00:00.000Z,102,38.8,93,1.85,34.8,16.2,NaN,NaN,NaN,residential,high,historical,Anand Vihar
sensor_residential_002,School Zone B,28.664451,77.327174,2025-07-15T00:00:00.000Z,95,48.3,113.1,1.34,49.8,15.3,NaN,NaN,NaN,residential,moderate,historical,Anand Vihar
sensor_residential_003,Residential Area C,28.653113,77.294562,2025-07-15T00:00:00.000Z,77,47,51.7,1.14,22.6,6,NaN,NaN,NaN,residential,moderate,historical,Anand Vihar
sensor_construction_001,Metro Construction A,28.656525,77.310922,2025-07-15T01:00:00.000Z,242,115.9,325.8,2.93,54.1,18.7,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_construction_002,Construction Site B,28.616051,77.320457,2025-07-15T01:00:00.000Z,161,157,340.4,2.5,75,22.9,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_construction_003,Building Project C,28.63314,77.301122,2025-07-15T01:00:00.000Z,160,97.1,217,1.68,36.3,17.3,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_construction_004,Construction Site D,28.648041,77.305674,2025-07-15T01:00:00.000Z,203,165.1,157.6,2.19,84.8,24.1,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_construction_005,Metro Construction E,28.654603,77.331446,2025-07-15T01:00:00.000Z,216,129.9,231.2,2.01,68,15,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_construction_006,Highway Expansion F,28.636031,77.322181,2025-07-15T01:00:00.000Z,152,156.8,147.3,3.33,69.9,18.2,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_vehicle_001,Highway Monitor A,28.648153,77.364056,2025-07-15T01:00:00.000Z,175,88.9,147.8,5.27,78,34.5,NaN,NaN,NaN,vehicle,very_high,historical,Anand Vihar
sensor_vehicle_002,Parking Complex B,28.678242,77.292525,2025-07-15T01:00:00.000Z,183,111.3,120.5,3.53,60.1,31.9,NaN,NaN,NaN,vehicle,very_high,historical,Anand Vihar
sensor_vehicle_003,Parking Complex C,28.638734,77.319219,2025-07-15T01:00:00.000Z,111,66.6,83,3.18,67.6,18.8,NaN,NaN,NaN,vehicle,high,historical,Anand Vihar
sensor_vehicle_004,Highway Monitor D,28.655445,77.331786,2025-07-15T01:00:00.000Z,135,83.8,83.2,1.88,70.8,24.3,NaN,NaN,NaN,vehicle,high,historical,Anand Vihar
sensor_vehicle_005,Highway Monitor E,28.660899,77.333624,2025-07-15T01:00:00.000Z,155,124.4,152.2,2.48,63.4,21.6,NaN,NaN,NaN,vehicle,very_high,historical,Anand Vihar
sensor_vehicle_006,Traffic Junction F,28.629773,77.316564,2025-07-15T01:00:00.000Z,135,97,217.9,5.14,67.2,23.5,NaN,NaN,NaN,vehicle,high,historical,Anand Vihar
sensor_vehicle_007,Parking Complex G,28.624538,77.354275,2025-07-15T01:00:00.000Z,197,82.8,218.6,3.37,100.4,40.5,NaN,NaN,NaN,vehicle,very_high,historical,Anand Vihar
sensor_vehicle_008,Bus Terminal H,28.640504,77.319658,2025-07-15T01:00:00.000Z,188,94.6,208.1,2.7,83,22.1,NaN,NaN,NaN,vehicle,very_high,historical,Anand Vihar
sensor_dust_001,Vacant Plot A,28.660666,77.318779,2025-07-15T01:00:00.000Z,173,176,223.9,1.06,48.8,9.8,NaN,NaN,NaN,dust,very_high,historical,Anand Vihar
sensor_dust_002,Riverbank Area B,28.629686,77.297894,2025-07-15T01:00:00.000Z,168,102.4,225.8,1.16,42.6,8.8,NaN,NaN,NaN,dust,very_high,historical,Anand Vihar
sensor_dust_003,Riverbank Area C,28.656484,77.332537,2025-07-15T01:00:00.000Z,153,136.8,302.7,0.86,34.8,12.9,NaN,NaN,NaN,dust,very_high,historical,Anand Vihar
sensor_dust_004,Open Ground D,28.652445,77.333468,2025-07-15T01:00:00.000Z,219,89.9,390.2,1.68,28.8,8.7,NaN,NaN,NaN,dust,very_high,historical,Anand Vihar
sensor_industrial_001,Processing Plant A,28.648513,77.314073,2025-07-15T01:00:00.000Z,176,89.3,148.7,2.43,57.8,58.5,NaN,NaN,NaN,industrial,very_high,historical,Anand Vihar
sensor_industrial_002,Manufacturing Hub B,28.621119,77.285802,2025-07-15T01:00:00.000Z,152,94.3,163.3,3.87,62.5,41.2,NaN,NaN,NaN,industrial,very_high,historical,Anand Vihar
sensor_industrial_003,Industrial Zone C,28.628297,77.319966,2025-07-15T01:00:00.000Z,147,93.9,211.5,3.87,64.1,39.4,NaN,NaN,NaN,industrial,high,historical,Anand Vihar
sensor_industrial_004,Manufacturing Hub D,28.659396,77.331965,2025-07-15T01:00:00.000Z,164,92.6,161.2,3.35,69.8,33.4,NaN,NaN,NaN,industrial,very_high,historical,Anand Vihar
sensor_residential_001,Community Center A,28.665526,77.347198,2025-07-15T01:00:00.000Z,162,105.9,156.6,3.37,62.6,21.5,NaN,NaN,NaN,residential,very_high,historical,Anand Vihar
sensor_residential_002,School Zone B,28.664451,77.327174,2025-07-15T01:00:00.000Z,149,79.2,197,2.83,72.9,31.3,NaN,NaN,NaN,residential,high,historical,Anand Vihar
sensor_residential_003,Residential Area C,28.653113,77.294562,2025-07-15T01:00:00.000Z,144,122.8,194.5,2.92,86.2,21,NaN,NaN,NaN,residential,high,historical,Anand Vihar
sensor_construction_001,Metro Construction A,28.656525,77.310922,2025-07-15T02:00:00.000Z,126,91.4,191.7,1.36,33.6,22.6,NaN,NaN,NaN,construction,high,historical,Anand Vihar
sensor_construction_002,Construction Site B,28.616051,77.320457,2025-07-15T02:00:00.000Z,213,108.1,228.2,3.35,47.6,18.3,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_construction_003,Building Project C,28.63314,77.301122,2025-07-15T02:00:00.000Z,197,123.8,225.2,2.8,51.5,16.7,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_construction_004,Construction Site D,28.648041,77.305674,2025-07-15T02:00:00.000Z,250,124.2,239.8,2.45,45.4,28.2,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_construction_005,Metro Construction E,28.654603,77.331446,2025-07-15T02:00:00.000Z,244,116.4,246.3,2.92,59.3,17.9,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_construction_006,Highway Expansion F,28.636031,77.322181,2025-07-15T02:00:00.000Z,199,112.6,180.5,2,49.5,28.4,NaN,NaN,NaN,construction,very_high,historical,Anand Vihar
sensor_vehicle_001,Highway Monitor A,28.648153,77.364056,2025-07-15T02:00:00.000Z,395,154.7,424.3,5.9,146.6,42.1,NaN,NaN,NaN,vehicle,hazardous,historical,Anand Vihar
sensor_vehicle_002,Parking Complex B,28.678242,77.292525,2025-07-15T02:00:00.000Z,386,276.3,441.4,8.2,167.1,50.1,NaN,NaN,NaN,vehicle,hazardous,historical,Anand Vihar
sensor_vehicle_003,Parking Complex C,28.638734,77.319219,2025-07-15T02:00:00.000Z,278,190.3,348.2,7.97,187.1,54.9,NaN,NaN,NaN,vehicle,very_high,historical,Anand Vihar
sensor_vehicle_004,Highway Monitor D,28.655445,77.331786,2025-07-15T02:00:00.000Z,185,118.1,264.5,5.73,103,46.5,NaN,NaN,NaN,vehicle,very_high,historical,Anand Vihar
sensor_vehicle_005,Highway Monitor E,28.660899,77.333624,2025-07-15T02:00:00.000Z,275,245.7,251.5,6.4,178.8,78.7,NaN,NaN,NaN,vehicle,very_high,historical,Anand Vihar
sensor_vehicle_006,Traffic Junction F,28.629773,77.316564,2025-07-15T02:00:00.000Z,272,196.7,225.6,5.54,190.3,63.7,NaN,NaN,NaN,vehicle,very_high,historical,Anand Vihar
sensor_vehicle_007,Parking Complex G,28.624538,77.354275,2025-07-15T02:00:00.000Z,351,166.6,304.8,6.42,112.5,55,NaN,NaN,NaN,vehicle,hazardous,historical,Anand Vihar
sensor_vehicle_008,Bus Terminal H,28.640504,77.319658,2025-07-15T02:00:00.000Z,303,205.1,273.4,5.23,181.7,70.7,NaN,NaN,NaN,vehicle,hazardous,historical,Anand Vihar
sensor_dust_001,Vacant Plot A,28.660666,77.318779,2025-07-15T02:00:00.000Z,224,180.2,313.5,1.63,37.8,15,NaN,NaN,NaN,dust,very_high,historical,Anand Vihar
sensor_dust_002,Riverbank Area B,28.629686,77.297894,2025-07-15T02:00:00.000Z,220,111.7,420.1,0.95,29.4,19.4,NaN,NaN,NaN,dust,very_high,historical,Anand Vihar
