id,lat,lng,station,source,aqi,pm25,pm10,co,no2,so2,rh,temperature,windSpeed,timestamp,severity,description
construction_001,28.639331,77.321066,Metro Construction A,construction,88,61.7,139.2,0.91,18,6,45,23.7,5,2025-07-20T15:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,81,90.1,185.9,1.2,35.1,16.6,39,22.6,3.4,2025-07-20T15:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,141,108.2,207.3,1.34,38.8,11,46,24.5,4.3,2025-07-20T15:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,92,77.1,176.9,1.78,52.7,8.4,44,23.1,4.4,2025-07-20T15:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,129,73.1,217.1,1.43,52.9,13.9,32,21,4.8,2025-07-20T15:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
vehicle_006,28.627293,77.321795,Bus Terminal A,vehicle,166,158.8,120.8,3.62,100.1,19.2,31,20.7,3.6,2025-07-20T15:00:00.000Z,high,Bus Terminal A - Major bus terminal with heavy traffic congestion
vehicle_007,28.643984,77.306297,Traffic Junction B,vehicle,95,64,174.2,2.16,55.2,14.2,42,24,5.2,2025-07-20T15:00:00.000Z,moderate,Traffic Junction B - Traffic junction with high vehicle density
vehicle_008,28.653835,77.327941,Highway Monitor C,vehicle,214,143,155.4,3.95,96.6,30.4,36,21.5,3.4,2025-07-20T15:00:00.000Z,very_high,Highway Monitor C - Highway monitoring point with diesel emissions
vehicle_009,28.640311,77.31886,Parking Complex D,vehicle,229,77.5,183.6,4.09,92.6,22.7,45,25,5,2025-07-20T15:00:00.000Z,very_high,Parking Complex D - Parking complex with vehicle idling
vehicle_010,28.647926,77.326581,Bus Terminal E,vehicle,179,81.7,145.3,3.11,36.1,17.5,45,20.6,3.6,2025-07-20T15:00:00.000Z,high,Bus Terminal E - Major bus terminal with heavy traffic congestion
vehicle_011,28.632492,77.299992,Traffic Junction F,vehicle,157,153.8,189.4,5.17,114,26.9,43,22.4,5.3,2025-07-20T15:00:00.000Z,high,Traffic Junction F - Traffic junction with high vehicle density
dust_012,28.639283,77.298179,Open Ground A,dust,148,111.5,232,0.68,28.6,9.1,44,23.3,4,2025-07-20T15:00:00.000Z,moderate,Open Ground A - Large unpaved area with loose soil
dust_013,28.631764,77.332845,Vacant Plot B,dust,130,70,131.3,0.77,17.6,7.7,44,21.2,4.7,2025-07-20T15:00:00.000Z,moderate,Vacant Plot B - Vacant plot with exposed soil and debris
dust_014,28.634682,77.31235,Quarry Site C,dust,124,130.6,254.1,1.07,18.9,7.5,42,21.4,4.9,2025-07-20T15:00:00.000Z,moderate,Quarry Site C - Quarry site with crushing operations
dust_015,28.647421,77.316557,Unpaved Area D,dust,100,122.7,252.4,0.43,25.9,8.8,47,21.4,3,2025-07-20T15:00:00.000Z,moderate,Unpaved Area D - Open area with construction debris
dust_016,28.639001,77.336353,Demolished Building Site E,dust,165,137.7,171.7,1.06,29.8,5.5,35,24.5,4.8,2025-07-20T15:00:00.000Z,high,Demolished Building Site E - Large unpaved area with loose soil
construction_001,28.639331,77.321066,Metro Construction A,construction,86,92.7,235,1.01,27.5,11.9,31,21.7,5.5,2025-07-20T16:00:00.000Z,moderate,Metro Construction A - Metro construction with heavy machinery
construction_002,28.637321,77.31774,Building Project B,construction,119,121.4,142.7,1.32,43.2,12,50,21.3,3.1,2025-07-20T16:00:00.000Z,moderate,Building Project B - Building project with dust and emissions
construction_003,28.646975,77.296802,Highway Expansion C,construction,127,94.5,235,1.3,50.1,8.7,50,23.5,4.2,2025-07-20T16:00:00.000Z,moderate,Highway Expansion C - Highway expansion with earthmoving equipment
construction_004,28.649373,77.318493,Active Construction D,construction,83,44.5,117.8,1.47,17.8,7,42,21,3,2025-07-20T16:00:00.000Z,moderate,Active Construction D - Active construction site with concrete mixing
construction_005,28.642822,77.301762,Industrial Building Site E,construction,87,82.8,113.4,1.15,42.5,8.7,37,22.1,5.3,2025-07-20T16:00:00.000Z,moderate,Industrial Building Site E - Metro construction with heavy machinery
